date,BOXX,SGOV
2022-08-09,,84.1897659302
2022-08-10,,84.1813430786
2022-08-11,,84.1981887817
2022-08-12,,84.2065963745
2022-08-15,,84.2065963745
2022-08-16,,84.2150192261
2022-08-17,,84.2233963013
2022-08-18,,84.2318572998
2022-08-19,,84.2318572998
2022-08-22,,84.2654724121
2022-08-23,,84.2402496338
2022-08-24,,84.2570571899
2022-08-25,,84.2780914307
2022-08-26,,84.2780914307
2022-08-29,,84.2823257446
2022-08-30,,84.2823257446
2022-08-31,,84.2907104492
2022-09-01,,84.3143310547
2022-09-02,,84.3143310547
2022-09-06,,84.3227386475
2022-09-07,,84.3395690918
2022-09-08,,84.3564376831
2022-09-09,,84.3480148315
2022-09-12,,84.3480148315
2022-09-13,,84.3732986450
2022-09-14,,84.3648605347
2022-09-15,,84.3901290894
2022-09-16,,84.3901290894
2022-09-19,,84.3985595703
2022-09-20,,84.4154129028
2022-09-21,,84.4238357544
2022-09-22,,84.4322814941
2022-09-23,,84.4491271973
2022-09-26,,84.4491271973
2022-09-27,,84.4575424194
2022-09-28,,84.4575424194
2022-09-29,,84.4828186035
2022-09-30,,84.4912261963
2022-10-03,,84.4971618652
2022-10-04,,84.5056152344
2022-10-05,,84.5056152344
2022-10-06,,84.5309143066
2022-10-07,,84.5393676758
2022-10-10,,84.5393676758
2022-10-11,,84.5478057861
2022-10-12,,84.5309143066
2022-10-13,,84.5562515259
2022-10-14,,84.5731048584
2022-10-17,,84.5646820068
2022-10-18,,84.5815582275
2022-10-19,,84.5815582275
2022-10-20,,84.5984497070
2022-10-21,,84.6153106689
2022-10-24,,84.6237335205
2022-10-25,,84.6153106689
2022-10-26,,84.6153106689
2022-10-27,,84.6575088501
2022-10-28,,84.6575088501
2022-10-31,,84.6575088501
2022-11-01,,84.6668319702
2022-11-02,,84.6837539673
2022-11-03,,84.7175903320
2022-11-04,,84.7260360718
2022-11-07,,84.7344894409
2022-11-08,,84.7429733276
2022-11-09,,84.7683639526
2022-11-10,,84.7767944336
2022-11-11,,84.7852630615
2022-11-14,,84.7852630615
2022-11-15,,84.7852630615
2022-11-16,,84.7767944336
2022-11-17,,84.8190917969
2022-11-18,,84.8190917969
2022-11-21,,84.8360366821
2022-11-22,,84.8613891602
2022-11-23,,84.8783187866
2022-11-25,,84.8867874146
2022-11-28,,84.9036788940
2022-11-29,,84.9036788940
2022-11-30,,84.9121398926
2022-12-01,,84.9486389160
2022-12-02,,84.9571228027
2022-12-05,,84.9825973511
2022-12-06,,84.9995422363
2022-12-07,,84.9910507202
2022-12-08,,85.0334777832
2022-12-09,,85.0334777832
2022-12-12,,85.0504455566
2022-12-13,,85.0588989258
2022-12-14,,85.0588989258
2022-12-15,,85.0903930664
2022-12-16,,85.0989303589
2022-12-19,,85.0989303589
2022-12-20,,85.1159515381
2022-12-21,,85.1159515381
2022-12-22,,85.1669998169
2022-12-23,,85.1669998169
2022-12-27,,85.1925582886
2022-12-28,99.7615432739,85.2010803223
2022-12-29,99.7765045166,85.2350921631
2022-12-30,99.8313522339,85.2350921631
2023-01-03,99.8413314819,85.2521591187
2023-01-04,99.8562850952,85.2436065674
2023-01-05,99.8812255859,85.2776870728
2023-01-06,99.8911972046,85.2946853638
2023-01-09,99.8911972046,85.2946853638
2023-01-10,99.9261016846,85.2946853638
2023-01-11,99.9410629272,85.2946853638
2023-01-12,100.0108718872,85.3542709351
2023-01-13,100.0208435059,85.3627624512
2023-01-17,100.0208435059,85.3542709351
2023-01-18,100.0407867432,85.3797912598
2023-01-19,100.0507659912,85.3968505859
2023-01-20,100.0657272339,85.4138565063
2023-01-23,100.0956420898,85.4138565063
2023-01-24,100.0756988525,85.4393768311
2023-01-25,100.1305541992,85.4479064941
2023-01-26,100.1305541992,85.4734191895
2023-01-27,100.1504974365,85.4819564819
2023-01-30,100.1804122925,85.5074615479
2023-01-31,100.1804122925,85.5074615479
2023-02-01,100.2203063965,85.5194625854
2023-02-02,100.2651901245,85.5621566772
2023-02-03,100.2651901245,85.5707168579
2023-02-06,100.2801513672,85.5707168579
2023-02-07,100.2651901245,85.5878067017
2023-02-08,100.2602005005,85.5963516235
2023-02-09,100.2751617432,85.6305236816
2023-02-10,100.2701721191,85.6390686035
2023-02-13,100.3529510498,85.6561584473
2023-02-14,100.3449707031,85.6476211548
2023-02-15,100.3748931885,85.6732711792
2023-02-16,100.4197769165,85.7074508667
2023-02-17,100.4297409058,85.7159652710
2023-02-21,100.4546737671,85.7330780029
2023-02-22,100.4696350098,85.7501525879
2023-02-23,100.4845962524,85.7843704224
2023-02-24,100.5294799805,85.7928771973
2023-02-27,100.5244903564,85.8014450073
2023-02-28,100.5195083618,85.8185119629
2023-03-01,100.5095291138,85.8253784180
2023-03-02,100.5294799805,85.8682250977
2023-03-03,100.5444412231,85.8767929077
2023-03-06,100.5494232178,85.8682250977
2023-03-07,100.5693664551,85.8939056396
2023-03-08,100.5294799805,85.9024963379
2023-03-09,100.5843353271,85.9282073975
2023-03-10,100.5972900391,85.9453506470
2023-03-13,100.7189636230,85.9710693359
2023-03-14,100.7229614258,85.9881744385
2023-03-15,100.7588577271,86.0224838257
2023-03-16,100.7488861084,86.0396118164
2023-03-17,100.7738189697,86.0481491089
2023-03-20,100.7987518311,86.0567321777
2023-03-21,100.8137130737,86.0824432373
2023-03-22,100.8186950684,86.0738601685
2023-03-23,100.8635787964,86.1081695557
2023-03-24,100.8835220337,86.1424331665
2023-03-27,100.8984832764,86.1253128052
2023-03-28,100.9134445190,86.1509857178
2023-03-29,100.8984832764,86.1595611572
2023-03-30,100.9483489990,86.1767196655
2023-03-31,100.9483489990,86.1852798462
2023-04-03,100.9583282471,86.1956024170
2023-04-04,100.9882431030,86.2127838135
2023-04-05,101.0281372070,86.2471771240
2023-04-06,101.0381088257,86.2729949951
2023-04-10,101.0530624390,86.2816009521
2023-04-11,101.0720214844,86.2816009521
2023-04-12,101.0879745483,86.2987823486
2023-04-13,101.1079177856,86.3503875732
2023-04-14,101.1328506470,86.3589706421
2023-04-17,101.1328506470,86.3589706421
2023-04-18,101.1178894043,86.3761901855
2023-04-19,101.1478118896,86.4019927979
2023-04-20,101.1877059937,86.4364166260
2023-04-21,101.2076568604,86.4449844360
2023-04-24,101.2276000977,86.4535903931
2023-04-25,101.2475433350,86.4535903931
2023-04-26,101.2774658203,86.4535903931
2023-04-27,101.2824478149,86.4793853760
2023-04-28,101.2974090576,86.4793853760
2023-05-01,101.3123703003,86.4897308350
2023-05-02,101.3373031616,86.5070037842
2023-05-03,101.3422851562,86.5070037842
2023-05-04,101.3572463989,86.5501861572
2023-05-05,101.3821792603,86.5588302612
2023-05-08,101.3971405029,86.5674438477
2023-05-09,101.4170913696,86.5760726929
2023-05-10,101.4370346069,86.5933456421
2023-05-11,101.4869003296,86.6451263428
2023-05-12,101.4968719482,86.6623916626
2023-05-15,101.5068435669,86.6537857056
2023-05-16,101.5018615723,86.6796722412
2023-05-17,101.5178146362,86.6883239746
2023-05-18,101.5467376709,86.7142410278
2023-05-19,101.5118408203,86.7228393555
2023-05-22,101.5616989136,86.7314605713
2023-05-23,101.5616989136,86.7487411499
2023-05-24,101.5966110229,86.7487411499
2023-05-25,101.6215362549,86.8005523682
2023-05-26,101.6165542603,86.8264694214
2023-05-30,101.6315078735,86.8437194824
2023-05-31,101.6664199829,86.8437194824
2023-06-01,101.7013244629,86.9061431885
2023-06-02,101.7362289429,86.9061431885
2023-06-05,101.7312393188,86.9234619141
2023-06-06,101.7511901855,86.9494781494
2023-06-07,101.7661514282,86.9581604004
2023-06-08,101.8259887695,86.9928436279
2023-06-09,101.8160095215,87.0014953613
2023-06-12,101.8459396362,87.0188522339
2023-06-13,101.8359603882,87.0275344849
2023-06-14,101.8359603882,87.0448837280
2023-06-15,101.8359603882,87.0882339478
2023-06-16,101.9257202148,87.0882339478
2023-06-20,101.9406738281,87.1142349243
2023-06-21,101.9606246948,87.1229019165
2023-06-22,101.9955291748,87.1575775146
2023-06-23,101.9855575562,87.1749267578
2023-06-26,101.9805679321,87.1836090088
2023-06-27,102.0154800415,87.1922683716
2023-06-28,102.0354232788,87.2182922363
2023-06-29,102.0653381348,87.2529525757
2023-06-30,102.0902786255,87.2529525757
2023-07-03,102.1052322388,87.2938995361
2023-07-05,102.1551055908,87.3025894165
2023-07-06,102.1700592041,87.3374023438
2023-07-07,102.2049713135,87.3461303711
2023-07-10,102.2249145508,87.3548431396
