strategy,total_return,annual_return,max_drawdown,volatility,sharpe,observations,complete_years,mdd_no_worse_years,mdd_strictly_better_years,return_within_5pp_years,both_within_5pp_years,return_within_10pp_years,both_within_10pp_years,min_return_gap,median_return_gap,min_mdd_gap,median_mdd_gap,strict_eligible,strict_mdd_eligible,risk_first_eligible,entry_vix,severe_vix,normal_qqq_cap,severe_qqq_cap,exit_mode,pass_80pct_objective
neighbor,18.63500881557424,0.16805284674936094,-0.40524003160491007,0.18636071711014868,0.9270913018361651,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.35,medium,True
neighbor,17.192862690890312,0.1634131475776721,-0.42382439222444657,0.18648453010099322,0.9052526275978655,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.4,fast,True
neighbor,18.75935953705952,0.16843764495174063,-0.4079304692084048,0.18679835103265663,0.9271164966773451,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.4,medium,True
neighbor,17.48282662826212,0.16437336876819542,-0.42684048122691376,0.18699766741994756,0.9076897030508354,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.45,fast,True
neighbor,18.879685111651476,0.16880780865328848,-0.4110297576482792,0.1873034737411793,0.9268075080770313,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.75,0.45,medium,True
neighbor,16.71056950118004,0.16178342268333612,-0.4223983191641456,0.18665111777997834,0.897108758627119,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.35,fast,True
neighbor,18.434755602122507,0.1674282894793151,-0.4105782470937692,0.1870161343591481,0.9216420596628426,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.35,medium,True
neighbor,16.99725892287222,0.16275717405198753,-0.42501099675293974,0.18709427392102793,0.899902468262398,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.4,fast,True
neighbor,18.557843460246787,0.16781289863720272,-0.4132443906582013,0.18745216820597416,0.921687755720365,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.4,medium,True
neighbor,17.284110294807988,0.16371687054850526,-0.42802073233991855,0.18760567869545927,0.9023545897319644,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.45,fast,True
neighbor,18.676947261741745,0.16818288104734158,-0.4163157176371919,0.1879554640862697,0.9214033867987153,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.8,0.45,medium,True
neighbor,16.539038448877026,0.16119364245186785,-0.4246142037976707,0.1871810713020948,0.8923920872535354,4830,18,18,18,17,17,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.35,fast,True
neighbor,18.32724528518729,0.16709046132369032,-0.4161290161751975,0.18756872272666072,0.9179426301261693,4830,18,18,18,17,17,18,18,-0.05822917669892491,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.35,medium,True
neighbor,16.82295575181272,0.16216691492687518,-0.4272167153506067,0.18762291595882696,0.8951953037646039,4830,18,18,18,17,17,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.4,fast,True
neighbor,18.449657619291216,0.16747497603485062,-0.41876990684517457,0.18800340218459186,0.9180033851589223,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.4,medium,True
neighbor,17.10703355607993,0.1631261396064565,-0.4302147637784942,0.18813282411958895,0.897660471353719,4830,18,18,18,17,17,18,18,-0.067422229467764,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.45,fast,True
neighbor,18.56810797675075,0.16784486816441646,-0.42181216735403415,0.18850515372512805,0.9177372032853934,4830,18,18,18,17,17,18,18,-0.05162892601074587,-0.0037411280157342297,0.00021862940144601328,0.0048243721264336625,False,False,True,15.0,35.0,0.85,0.45,medium,True
neighbor,17.350335672382876,0.16393640717488278,-0.39740353021827857,0.1824823055472763,0.9235167645750606,4830,18,18,18,16,16,18,18,-0.07506679562936203,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,20.0,25.0,0.75,0.35,fast,True
neighbor,19.720423769870077,0.1713364764857186,-0.37483235289893235,0.1831749314413698,0.9553233954212331,4830,18,18,18,16,16,18,18,-0.05822917669892491,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,20.0,25.0,0.75,0.35,medium,True
neighbor,17.62157943873578,0.16482781105310673,-0.40295776818623563,0.18329669828064196,0.9244009743528432,4830,18,18,18,16,16,18,18,-0.07121237885832121,-0.0053748156062133345,0.00021862940144601328,0.0048243721264336625,False,False,True,20.0,25.0,0.75,0.4,fast,True
neighbor,19.741667375025227,0.17139910235106903,-0.38133146602925394,0.18394648653361817,0.9523730872195237,4830,18,18,18,17,17,18,18,-0.05492961867480339,-0.004378602020566391,0.00021862940144601328,0.0048243721264336625,False,False,True,20.0,25.0,0.75,0.4,medium,True
