date,QQQ,QLD,XLU,IAU,TLT,BIL,SVXY
2009-10-15,37.2712173462,0.8073482513,8.3077754974,20.5979995728,57.7017707825,73.4410781860,
2009-10-16,37.0288543701,0.7969662547,8.3358535767,20.6639995575,58.1709709167,73.4731445312,
2009-10-19,37.4010581970,0.8116230369,8.4537763596,20.8619995117,58.6280784607,73.4571075439,
2009-10-20,37.4097213745,0.8125396967,8.3695478439,20.7040004730,58.9450035095,73.4410781860,
2009-10-21,37.3404617310,0.8093326092,8.3807783127,20.7600002289,58.5915184021,73.4410781860,
2009-10-22,37.4876098633,0.8165087104,8.4004268646,20.7980003357,58.3050613403,73.4410781860,
2009-10-23,37.3318099976,0.8099433184,8.2628555298,20.7140007019,57.8662872314,73.4410781860,
2009-10-26,37.2106399536,0.8041422367,8.1533555984,20.3899993896,57.1166381836,73.4410781860,
2009-10-27,36.6480064392,0.7803248763,8.1337051392,20.3819999695,57.8967437744,73.4410781860,
2009-10-28,35.8257255554,0.7447516918,8.0522842407,20.1639995575,58.1709709167,73.4410781860,
2009-10-29,36.4316177368,0.7693321109,8.1224727631,20.5520000458,57.5371513367,73.4571075439,
2009-10-30,35.4535408020,0.7282627821,7.9708609581,20.5340003967,58.3720703125,73.4891357422,
2009-11-02,35.6006813049,0.7340638638,7.9568214417,20.7900009155,58.1140708923,73.4907379150,
2009-11-03,35.7131881714,0.7391020060,7.9399766922,21.3080005646,57.5332603455,73.4907379150,
2009-11-04,35.7737884521,0.7415448427,7.9933185577,21.4360008240,57.0074386597,73.4747467041,
2009-11-05,36.6566658020,0.7774237394,8.1280899048,21.4020004272,57.0074386597,73.4747467041,
2009-11-06,36.8730506897,0.7870425582,8.1196651459,21.5079994202,57.0624694824,73.4907379150,
2009-11-09,37.6607437134,0.8207836747,8.2656602859,21.6480007172,57.1297569275,73.4907379150,
2009-11-10,37.7559127808,0.8233787417,8.3049688339,21.6900005341,57.0257911682,73.4426803589,
2009-11-11,37.9982910156,0.8346773386,8.2853145599,21.9340000153,57.2642478943,73.4426803589,
2009-11-12,37.7818984985,0.8259750605,8.1702022552,21.6620006561,57.1602897644,73.4426803589,
2009-11-13,38.0934982300,0.8398677707,8.2432012558,21.9699993134,57.4232215881,73.4426803589,
2009-11-16,38.4829940796,0.8569673896,8.3583154678,22.3439998627,58.0957641602,73.4426803589,
2009-11-17,38.6041755676,0.8615481853,8.3133916855,22.4160003662,58.4076080322,73.4426803589,
2009-11-18,38.3877906799,0.8526926637,8.2768907547,22.4780006409,58.0651779175,73.4426803589,
2009-11-19,37.7905540466,0.8252109289,8.1758203506,22.4759998322,58.1691131592,73.4426803589,
2009-11-20,37.6001358032,0.8180360794,8.2123165131,22.5919990540,58.1569366455,73.4426803589,
2009-11-23,38.2060165405,0.8427688479,8.3161973953,22.8700008392,58.0835189819,73.4426803589,
2009-11-24,38.0761909485,0.8374249339,8.3330459595,22.9659996033,58.4503631592,73.4426803589,
2009-11-25,38.2406501770,0.8444485068,8.4285058975,23.3540000916,58.7193756104,73.4426803589,
2009-11-27,37.6607437134,0.8192572594,8.2853145599,23.0359992981,58.9394836426,73.4587097168,
2009-11-30,37.7040138245,0.8201728463,8.3555088043,23.1480007172,59.0801086426,73.4587097168,
2009-12-01,38.0934982300,0.8375782371,8.5127315521,23.4979991913,58.4219932556,73.4587097168,
2009-12-02,38.1454467773,0.8404784799,8.6278448105,23.8519992828,58.4710273743,73.4426803589,
2009-12-03,37.9896430969,0.8336083293,8.6559228897,23.7660007477,57.8638267517,73.4426803589,
2009-12-04,38.1887207031,0.8418533802,8.6025762558,22.7740001678,57.2504844666,73.4747467041,
2009-12-07,38.0069541931,0.8336083293,8.6783847809,22.6340007782,57.3240623474,73.4426803589,
2009-12-08,37.7732582092,0.8233787417,8.6418828964,22.1979999542,57.4099464417,73.4426803589,
2009-12-09,38.1540870667,0.8398677707,8.6727695465,22.1860008240,57.1461830139,73.4747467041,
2009-12-10,38.3445320129,0.8484175801,8.7822647095,22.1800003052,56.4899635315,73.4426803589,
2009-12-11,38.1973648071,0.8423106074,8.9338760376,21.8700008392,56.4837417603,73.4426803589,
2009-12-14,38.5609054565,0.8577316403,8.9759931564,22.0599994659,56.5512580872,73.4266662598,
2009-12-15,38.3445320129,0.8487232924,8.9198379517,22.0599994659,56.2997932434,73.4266662598,
2009-12-16,38.3964500427,0.8510138392,8.8805341721,22.3299999237,56.2323074341,73.4426803589,
2009-12-17,37.9290466309,0.8305547833,8.8299970627,21.4960002899,57.1585044861,73.4426803589,
2009-12-18,38.5472297668,0.8565102816,8.9064159393,21.8139991760,56.9131011963,73.4426803589,
2009-12-21,38.9807167053,0.8763574958,8.9319877625,21.3980007172,55.9010620117,73.4426803589,
2009-12-22,39.2148246765,0.8867393732,8.8581237793,21.2439994812,55.5882453918,73.4426803589,
2009-12-23,39.5009307861,0.8992593288,8.8780069351,21.3320007324,55.6005439758,73.4426803589,
2009-12-24,39.8650703430,0.9157482386,8.9433517456,21.6800003052,55.0239982605,73.4587097168,
