date,VIX,VIX3M
2021-06-28,15.7600000000,19.0200000000
2021-06-29,16.0200000000,19.4900000000
2021-06-30,15.8300000000,19.5100000000
2021-07-01,15.4800000000,19.4500000000
2021-07-02,15.0700000000,19.3000000000
2021-07-06,16.4400000000,20.2600000000
2021-07-07,16.2000000000,20.4100000000
2021-07-08,19.0000000000,21.9800000000
2021-07-09,16.1800000000,20.4400000000
2021-07-12,16.1700000000,20.4600000000
2021-07-13,17.1200000000,21.1300000000
2021-07-14,16.3300000000,20.6200000000
2021-07-15,17.0100000000,21.0900000000
2021-07-16,18.4500000000,22.0700000000
2021-07-19,22.5000000000,24.9000000000
2021-07-20,19.7300000000,23.2000000000
2021-07-21,17.9100000000,21.8700000000
2021-07-22,17.6900000000,21.8600000000
2021-07-23,17.2000000000,21.6500000000
2021-07-26,17.5800000000,21.7400000000
2021-07-27,19.3600000000,23.0000000000
2021-07-28,18.3100000000,22.3500000000
2021-07-29,17.7000000000,21.8800000000
2021-07-30,18.2400000000,22.1800000000
2021-08-02,19.4600000000,23.0500000000
2021-08-03,18.0400000000,22.1800000000
2021-08-04,17.9700000000,22.1700000000
2021-08-05,17.2800000000,21.5200000000
2021-08-06,16.1500000000,20.8700000000
2021-08-09,16.7200000000,21.2700000000
2021-08-10,16.7900000000,21.2100000000
2021-08-11,16.0600000000,20.6700000000
2021-08-12,15.5900000000,20.2500000000
2021-08-13,15.4500000000,20.2600000000
2021-08-16,16.1200000000,20.6400000000
2021-08-17,17.9100000000,21.7000000000
2021-08-18,21.5700000000,23.8000000000
2021-08-19,21.6700000000,24.2000000000
2021-08-20,18.5600000000,22.4100000000
2021-08-23,17.1500000000,21.2000000000
2021-08-24,17.2200000000,21.2200000000
2021-08-25,16.7900000000,20.7900000000
2021-08-26,18.8400000000,21.8600000000
2021-08-27,16.3900000000,20.6100000000
2021-08-30,16.1900000000,20.4000000000
2021-08-31,16.4800000000,20.4200000000
2021-09-01,16.1100000000,20.0800000000
2021-09-02,16.4100000000,20.1300000000
2021-09-03,16.4100000000,20.3200000000
2021-09-07,18.1400000000,21.5300000000
2021-09-08,17.9600000000,21.5900000000
2021-09-09,18.8000000000,22.0600000000
2021-09-10,20.9500000000,23.3100000000
2021-09-13,19.3700000000,22.4700000000
2021-09-14,19.4600000000,22.5500000000
2021-09-15,18.1800000000,21.7600000000
2021-09-16,18.6900000000,21.8100000000
2021-09-17,20.8100000000,23.2200000000
2021-09-20,25.7100000000,26.4000000000
2021-09-21,24.3600000000,25.4700000000
2021-09-22,20.8700000000,23.0500000000
2021-09-23,18.6300000000,21.3700000000
2021-09-24,17.7500000000,20.8200000000
2021-09-27,18.7600000000,21.4000000000
2021-09-28,23.2500000000,24.0300000000
2021-09-29,22.5600000000,23.7200000000
2021-09-30,23.1400000000,23.8700000000
2021-10-01,21.1500000000,23.0500000000
2021-10-04,22.9600000000,24.1100000000
2021-10-05,21.3000000000,23.1100000000
2021-10-06,21.0000000000,22.8400000000
2021-10-07,19.5400000000,22.1200000000
2021-10-08,18.7700000000,21.8800000000
2021-10-11,20.0000000000,22.3900000000
2021-10-12,19.8500000000,22.3300000000
2021-10-13,18.6400000000,21.5400000000
2021-10-14,16.8600000000,20.3700000000
2021-10-15,16.3000000000,20.3000000000
2021-10-18,16.3100000000,20.2900000000
2021-10-19,15.7000000000,19.9800000000
2021-10-20,15.4900000000,19.8700000000
2021-10-21,15.0100000000,19.4800000000
2021-10-22,15.4300000000,20.0100000000
2021-10-25,15.2400000000,19.5600000000
2021-10-26,15.9800000000,20.1100000000
2021-10-27,16.9800000000,20.8900000000
2021-10-28,16.5300000000,20.4800000000
2021-10-29,16.2600000000,20.3700000000
2021-11-01,16.4100000000,20.3900000000
2021-11-02,16.0300000000,20.1000000000
2021-11-03,15.1000000000,19.5000000000
2021-11-04,15.4400000000,19.7000000000
2021-11-05,16.4800000000,20.4900000000
2021-11-08,17.2200000000,20.9800000000
2021-11-09,17.7800000000,21.4100000000
2021-11-10,18.7300000000,22.0000000000
2021-11-11,17.6600000000,21.3800000000
2021-11-12,16.2900000000,20.6900000000
2021-11-15,16.4900000000,20.8700000000
2021-11-16,16.3700000000,20.9000000000
2021-11-17,17.1100000000,21.5800000000
2021-11-18,17.5900000000,21.9000000000
2021-11-19,17.9100000000,21.9200000000
2021-11-22,19.1700000000,22.6300000000
2021-11-23,19.3800000000,22.4500000000
2021-11-24,18.5800000000,21.9000000000
2021-11-26,28.6200000000,29.1700000000
2021-11-29,22.9600000000,25.0400000000
2021-11-30,27.1900000000,28.1300000000
2021-12-01,31.1200000000,30.7900000000
2021-12-02,27.9500000000,29.1500000000
2021-12-03,30.6700000000,31.7800000000
2021-12-06,27.1800000000,28.8800000000
2021-12-07,21.8900000000,24.9600000000
2021-12-08,19.9000000000,23.6300000000
