end,start,strategy,annualized_return,max_drawdown
2012-09-18,2009-09-21,selected,0.19329009481902104,-0.15886945804290287
2012-09-19,2009-09-22,QQQ,0.19214756729982496,-0.16099267605668077
2012-09-19,2009-09-22,selected,0.19282027175091354,-0.1588694580429032
2012-09-20,2009-09-23,QQQ,0.19100665328790023,-0.160992676056681
2012-09-20,2009-09-23,selected,0.191676118574994,-0.15886945804290298
2012-09-21,2009-09-24,QQQ,0.192987755386256,-0.160992676056681
2012-09-21,2009-09-24,selected,0.1936533504163298,-0.15886945804290276
2012-09-24,2009-09-25,QQQ,0.1942331850577128,-0.1609926760566811
2012-09-24,2009-09-25,selected,0.19490608700587342,-0.15886945804290287
2012-09-25,2009-09-28,QQQ,0.19211802142016277,-0.16099267605668122
2012-09-25,2009-09-28,selected,0.19281339072044434,-0.1588694580429031
2012-09-26,2009-09-29,QQQ,0.18220095254122515,-0.160992676056681
2012-09-26,2009-09-29,selected,0.18297933872186767,-0.1588694580429032
2012-09-27,2009-09-30,QQQ,0.1893865472842493,-0.16099267605668088
2012-09-27,2009-09-30,selected,0.19010817193293583,-0.15886945804290287
2012-09-28,2009-10-01,QQQ,0.1858282815259933,-0.160992676056681
2012-09-28,2009-10-01,selected,0.18656510266279303,-0.15886945804290298
2012-10-01,2009-10-02,QQQ,0.19717660412577742,-0.16099267605668133
2012-10-01,2009-10-02,selected,0.19781937860121723,-0.15886945804290298
2012-10-02,2009-10-05,QQQ,0.19951231876758002,-0.160992676056681
2012-10-02,2009-10-05,selected,0.20013732757529645,-0.1588694580429031
2012-10-03,2009-10-06,QQQ,0.19885161187474187,-0.16099267605668088
2012-10-03,2009-10-06,selected,0.19946130209858626,-0.15886945804290276
2012-10-04,2009-10-07,QQQ,0.19323322495927076,-0.16099267605668077
2012-10-04,2009-10-07,selected,0.19387006790778272,-0.15886945804290298
2012-10-05,2009-10-08,QQQ,0.1899736901799094,-0.16099267605668088
2012-10-05,2009-10-08,selected,0.1906159811528545,-0.15886945804290287
