date,QQQ,TLT,IAU,XLU,BIL
2018-09-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-20,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-21,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-27,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-09-28,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-02,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-03,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-09,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-10,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-16,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-17,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-18,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-22,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-23,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-24,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-25,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-26,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-29,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-30,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-10-31,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-11-01,0.99,0.0015,0.0034999999999999996,0.001,0.004
2018-11-02,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-05,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-06,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-07,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-08,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-09,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-12,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-13,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-14,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-15,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-16,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-19,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-20,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-21,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-23,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-26,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-27,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-28,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-29,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-11-30,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-12-03,0.6021445026170462,0.05967832460744306,0.1392494240840338,0.03978554973829538,0.15914219895318152
2018-12-04,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-06,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-07,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-10,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-11,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-12,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-13,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-14,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-17,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-18,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-19,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-20,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-21,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-24,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-26,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-27,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-28,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2018-12-31,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2019-01-02,0.8785025983599815,0.018224610246002797,0.04252409057400652,0.012149740164001863,0.04859896065600745
2019-01-03,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-04,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-07,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-08,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-09,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-10,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-11,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-14,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-15,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-16,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-17,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-18,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-22,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-23,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-24,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-25,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-28,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-29,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-30,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-01-31,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-02-01,0.5886962190297196,0.06169556714554206,0.14395632333959812,0.04113037809702805,0.1645215123881122
2019-02-04,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-05,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-06,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-07,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-08,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-11,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-12,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-13,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-14,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-15,0.99,0.0015,0.0034999999999999996,0.001,0.004
2019-02-19,0.99,0.0015,0.0034999999999999996,0.001,0.004
